Index,ID,Coordinates,Block,Census Tract,Neighborhood,County,Closest Topic,Publication Date
0,65adafef8d9d92f2327ea8ff,"[-71.0201972, 42.3665992]",1044,981300,East Boston,25,Weather,Mon Dec 18 12:34:19 EST 2023
1,65adafef8d9d92f2327ea923,"[-71.06939, 42.3561948]",1000,981700,Downtown,25,State Politics,Thu Nov 30 14:12:21 EST 2023
2,65adafef8d9d92f2327ea8fd,"[-71.148182, 42.357122]",2032,102,Allston,25,GBH,Mon Dec 18 16:00:52 EST 2023
3,65adafef8d9d92f2327ea90c,"[-71.0872662, 42.3276283]",3003,81400,Roxbury,25,Aging/Seniors,Wed Dec 13 05:00:00 EST 2023
4,65adafef8d9d92f2327ea90b,"[-71.1084303, 42.3503433]",3005,10103,Fenway,25,Guns,Wed Dec 13 12:16:10 EST 2023
5,65adafef8d9d92f2327ea936,"[-71.1907002, 42.3943215]",1028,357700,,17,Mental Health,Fri Nov 17 13:53:04 EST 2023
6,65adafef8d9d92f2327ea93b,"[-71.06694, 42.3516729]",2002,70201,Downtown,25,Infrastructure,Thu Nov 16 12:31:26 EST 2023
7,65adafef8d9d92f2327ea94f,"[-70.98146270000001, 42.4255431]",2006,170502,,25,Local Politics,Tue Nov 07 23:52:46 EST 2023
8,65adafef8d9d92f2327ea951,"[-71.2586437, 42.365357]",5003,368400,,17,Other,Tue Nov 07 16:02:46 EST 2023
9,65adafef8d9d92f2327ea959,"[-71.0854325, 42.3284483]",5000,81700,Roxbury,25,Education,Wed Nov 01 17:03:28 EDT 2023
10,65adafef8d9d92f2327ea96c,"[-71.06010599999999, 42.3577637]",1002,70102,Downtown,25,Other,Mon Oct 23 15:19:08 EDT 2023
11,65adafef8d9d92f2327ea972,"[-71.0638101, 42.3587772]",1005,20302,Beacon Hill,25,Public Health,Thu Oct 19 13:58:48 EDT 2023
12,65adafef8d9d92f2327ea90d,"[-71.0588801, 42.3600825]",1037,30302,Downtown,25,Arts & Culture,Tue Dec 12 16:29:22 EST 2023
13,65adafef8d9d92f2327ea918,"[-73.95597210000001, 41.3914827]",1010,13600,,71,Other,Thu Dec 07 05:00:00 EST 2023
14,65adafef8d9d92f2327ea91f,"[-71.0588801, 42.3600825]",1037,30302,Downtown,25,Obituaries,Fri Dec 01 16:54:42 EST 2023
15,65adafef8d9d92f2327ea931,"[-71.1084303, 42.3503433]",3005,10103,Fenway,25,Local Politics,Tue Nov 21 14:42:38 EST 2023
16,65adafef8d9d92f2327ea93a,"[-71.0588801, 42.3600825]",1037,30302,Downtown,25,Law Enforcement,Thu Nov 16 14:13:57 EST 2023
17,65adafef8d9d92f2327ea949,"[-71.0254241, 42.3800079]",1011,50901,East Boston,25,Mental Health,Thu Nov 09 16:02:40 EST 2023
18,65adafef8d9d92f2327ea94a,"[-71.1116971, 42.3298637]",2000,81101,Mission Hill,25,Housing/Homelessness,Thu Nov 09 13:45:00 EST 2023
19,65adafef8d9d92f2327ea955,"[-71.0588801, 42.3600825]",1037,30302,Downtown,25,Labor/Workforce,Fri Nov 03 16:46:25 EDT 2023
20,65adafef8d9d92f2327ea963,"[-71.0551145, 42.360189]",1020,30302,Downtown,25,Local Politics,Wed Oct 25 16:53:42 EDT 2023
21,65adafef8d9d92f2327ea964,"[-71.0972178, 42.3466764]",1001,10206,Fenway,25,Other,Wed Oct 25 15:44:20 EDT 2023
22,65adafef8d9d92f2327ea980,"[-71.0745848, 42.35377340000001]",3009,10702,Back Bay,25,Obituaries,Wed Oct 11 18:13:45 EDT 2023
23,65adafef8d9d92f2327ea997,"[-71.04214429999999, 42.3462519]",1028,60603,South Boston Waterfront,25,Gentrification,Thu Sep 28 13:47:13 EDT 2023
24,65adafef8d9d92f2327ea8fc,"[-73.362008, 42.1959798]",2019,925102,,3,Gender issues,Mon Dec 18 16:19:38 EST 2023
25,65adafef8d9d92f2327ea910,"[-71.1084303, 42.3503433]",3005,10103,Fenway,25,Local Politics,Fri Dec 08 16:15:05 EST 2023
26,65adafef8d9d92f2327ea91b,"[-71.0588801, 42.3600825]",1037,30302,Downtown,25,Law Enforcement,Tue Dec 05 16:15:52 EST 2023
27,65adafef8d9d92f2327ea91c,"[-71.0582359, 42.35734730000001]",1047,30302,Downtown,25,Shopping,Tue Dec 05 05:00:00 EST 2023
28,65adafef8d9d92f2327ea93e,"[-71.08558219999999, 42.3418378]",3002,10405,Fenway,25,Arts & Culture,Wed Nov 15 10:41:32 EST 2023
29,65adafef8d9d92f2327ea941,"[-71.104215, 42.3356451]",5007,81001,Longwood,25,Addiction/Substance Use,Tue Nov 14 14:57:10 EST 2023
30,65adafef8d9d92f2327ea944,"[-71.0979556, 42.3620057]",1013,353101,,17,Housing/Homelessness,Mon Nov 13 12:06:44 EST 2023
31,65adafef8d9d92f2327ea947,"[-71.0588801, 42.3600825]",1037,30302,Downtown,25,Immigration,Fri Nov 10 10:21:47 EST 2023
32,65adafef8d9d92f2327ea96d,"[-71.0419953, 42.3141992]",2011,90901,South Boston,25,Equity & Justice,Mon Oct 23 14:04:36 EDT 2023
33,65adafef8d9d92f2327ea971,"[-70.29624079999999, 41.6687897]",1037,15300,,1,State Politics,Thu Oct 19 14:19:29 EDT 2023
34,65adafef8d9d92f2327ea985,"[-71.0861518, 42.3672814]",2007,352300,,17,Law Enforcement,Thu Oct 05 17:20:54 EDT 2023
35,65adafef8d9d92f2327ea987,"[-71.05935029999999, 42.3602242]",1037,30302,Downtown,25,Local Politics,Thu Oct 05 10:51:12 EDT 2023
36,65adafef8d9d92f2327ea909,"[-71.05488969999999, 42.3576414]",1055,30302,Downtown,25,Other,Wed Dec 13 15:22:00 EST 2023
37,65adafef8d9d92f2327ea91e,"[-71.1084303, 42.3503433]",3005,10103,Fenway,25,State Politics,Mon Dec 04 16:04:34 EST 2023
